type,name,id,created,binary_ref.type,binary_ref.name,binary_ref.parent_directory_ref.type,binary_ref.parent_directory_ref.path,binary_ref.parent_directory_ref.id,binary_ref.id,pid,opened_connection_refs_count,creator_user_ref.type,creator_user_ref.user_id,creator_user_ref.id,x_contained_by_ref,first_observed,last_observed,number_observed,binary_ref.hashes.MD5,command_line,parent_ref.type,parent_ref.name,parent_ref.binary_ref.type,parent_ref.binary_ref.name,parent_ref.binary_ref.parent_directory_ref.type,parent_ref.binary_ref.parent_directory_ref.path,parent_ref.binary_ref.parent_directory_ref.id,parent_ref.binary_ref.id,parent_ref.pid,parent_ref.command_line,parent_ref.id,command_line_entropy,command_line_len,suspicion_score,opened_connection_refs
directory,,directory--ca8f873-867b-44a1-a45b-208769c8f45b_2,,,,,,,,,,,,,observed-data--eca8f873-867b-44a1-a45b-208769c8f45b,2019-05-18T20:43:43.831Z,2019-05-18T20:43:43.831Z,1.0,,,,,,,,,,,,,,0.0,0,0,
observed-data,,observed-data--c90b1912-a885-493e-a7f7-c05a95b109d4,2020-08-12T09:53:20.585Z,,,,,,,,,,,,,2019-05-18T20:44:04.972Z,2019-05-18T20:44:04.972Z,1.0,,,,,,,,,,,,,,0.0,0,0,
network-traffic,,network-traffic--645fa10a-fe4b-4cb1-9fdf-88576aa4abef_4,,,,,,,,,,,,,observed-data--645fa10a-fe4b-4cb1-9fdf-88576aa4abef,2019-05-18T20:42:34.663Z,2019-05-18T20:42:34.663Z,1.0,,,,,,,,,,,,,,0.0,0,0,
observed-data,,observed-data--2f30f6b0-7917-4f8f-b082-54758fd98353,2020-08-12T09:53:20.480Z,,,,,,,,,,,,,2019-05-18T20:43:41.708Z,2019-05-18T20:43:41.708Z,1.0,,,,,,,,,,,,,,0.0,0,0,
ipv4-addr,,ipv4-addr--4b4596c4-a013-4bbb-b082-2c8fd366d2d3_3,,,,,,,,,,,,,observed-data--4b4596c4-a013-4bbb-b082-2c8fd366d2d3,2019-05-07T11:58:01.056Z,2019-05-07T11:58:01.056Z,1.0,,,,,,,,,,,,,,0.0,0,0,
directory,,directory--8ac5d7f1-47fb-4242-8758-25669e712276_2,,,,,,,,,,,,,observed-data--8ac5d7f1-47fb-4242-8758-25669e712276,2019-05-18T20:43:41.175Z,2019-05-18T20:43:41.175Z,1.0,,,,,,,,,,,,,,0.0,0,0,
windows-registry-key,,windows-registry-key--cade70fa-b008-476f-bc30-1761ca03e775_3,,,,,,,,,,,,,observed-data--cade70fa-b008-476f-bc30-1761ca03e775,2019-05-18T20:43:41.175Z,2019-05-18T20:43:41.175Z,1.0,,,,,,,,,,,,,,0.0,0,0,
user-account,,user-account--2ba3dad0-e11f-41f5-8667-9b170190014d_6,,,,,,,,,,,,,observed-data--2ba3dad0-e11f-41f5-8667-9b170190014d,2019-05-07T11:56:31.075Z,2019-05-07T11:56:31.075Z,1.0,,,,,,,,,,,,,,0.0,0,0,
ipv4-addr,,ipv4-addr--2ecbc8f7-ea22-4a47-a41e-d5fa64a177de_3,,,,,,,,,,,,,observed-data--2ecbc8f7-ea22-4a47-a41e-d5fa64a177de,2019-05-07T11:56:53.411Z,2019-05-07T11:56:53.411Z,1.0,,,,,,,,,,,,,,0.0,0,0,
directory,,directory--95c20949-de40-4895-9564-640dc9f29f18_2,,,,,,,,,,,,,observed-data--95c20949-de40-4895-9564-640dc9f29f18,2019-05-18T20:43:37.831Z,2019-05-18T20:43:37.831Z,1.0,,,,,,,,,,,,,,0.0,0,0,
user-account,,user-account--5b7d6215-930a-4a12-a9ef-19dfbfb77ca8_4,,,,,,,,,,,,,observed-data--5b7d6215-930a-4a12-a9ef-19dfbfb77ca8,2019-05-18T20:43:41.175Z,2019-05-18T20:43:41.175Z,1.0,,,,,,,,,,,,,,0.0,0,0,
user-account,,user-account--8f0557dd-e0a6-419c-b0b6-247eee296493_6,,,,,,,,,,,,,observed-data--8f0557dd-e0a6-419c-b0b6-247eee296493,2019-05-07T11:56:21.769Z,2019-05-07T11:56:21.769Z,1.0,,,,,,,,,,,,,,0.0,0,0,
file,svchost.exe,file--3feb1945-a3ab-468e-8eb9-78738716629c_1,,,,,,,,,,,,,observed-data--3feb1945-a3ab-468e-8eb9-78738716629c,2019-05-18T20:43:10.647Z,2019-05-18T20:43:10.647Z,1.0,,,,,,,,,,,,,,0.0,0,0,
file,powershell.exe,file--28cb1575-65df-4166-84ac-370e5df0ce9f_1,,,,,,,,,,,,,observed-data--28cb1575-65df-4166-84ac-370e5df0ce9f,2019-05-18T20:43:41.175Z,2019-05-18T20:43:41.175Z,1.0,,,,,,,,,,,,,,0.0,0,0,
user-account,,user-account--069927d3-17b8-455d-b0cb-1bf6f6677746_4,,,,,,,,,,,,,observed-data--069927d3-17b8-455d-b0cb-1bf6f6677746,2019-05-18T20:43:43.831Z,2019-05-18T20:43:43.831Z,1.0,,,,,,,,,,,,,,0.0,0,0,
process,powershell.exe,process--8fff8a07-bf20-4b28-a422-3bddad831a57_0,,file,powershell.exe,directory,C:\Windows\System32\WindowsPowerShell\v1.0,directory--8fff8a07-bf20-4b28-a422-3bddad831a57_2,file--8fff8a07-bf20-4b28-a422-3bddad831a57_1,5204.0,,user-account,S-1-5-18,user-account--8fff8a07-bf20-4b28-a422-3bddad831a57_4,observed-data--8fff8a07-bf20-4b28-a422-3bddad831a57,2019-05-18T20:43:41.284Z,2019-05-18T20:43:41.284Z,1.0,,,,,,,,,,,,,,0.0,0,0,
user-account,,user-account--9c4fdc98-e635-4e3f-8205-158c1e332fa4_6,,,,,,,,,,,,,observed-data--9c4fdc98-e635-4e3f-8205-158c1e332fa4,2019-05-07T11:56:32.199Z,2019-05-07T11:56:32.199Z,1.0,,,,,,,,,,,,,,0.0,0,0,
file,WScript.exe,file--200c5b08-445b-47eb-8908-a41fa22a8b89_1,,,,,,,,,,,,,observed-data--200c5b08-445b-47eb-8908-a41fa22a8b89,2019-05-18T20:43:37.753Z,2019-05-18T20:43:37.753Z,1.0,,,,,,,,,,,,,,0.0,0,0,
ipv4-addr,,ipv4-addr--3c596e4-953b-4c1f-b43f-23db4a20b47f_5,,,,,,,,,,,,,observed-data--a3c596e4-953b-4c1f-b43f-23db4a20b47f,2019-05-07T11:57:27.924Z,2019-05-07T11:57:27.924Z,1.0,,,,,,,,,,,,,,0.0,0,0,
file,powershell.exe,file--094fb4b8-1179-490b-a35d-e533a939cf79_1,,,,,,,,,,,,,observed-data--094fb4b8-1179-490b-a35d-e533a939cf79,2019-05-07T11:57:17.933Z,2019-05-07T11:57:17.933Z,1.0,,,,,,,,,,,,,,0.0,0,0,
directory,,directory--4a8ce107-bb4c-4e4a-9fac-54a55ed644bc_2,,,,,,,,,,,,,observed-data--4a8ce107-bb4c-4e4a-9fac-54a55ed644bc,2019-05-18T20:43:41.284Z,2019-05-18T20:43:41.284Z,1.0,,,,,,,,,,,,,,0.0,0,0,
observed-data,,observed-data--7243d586-be3b-4941-8922-83a8674a40fa,2020-08-12T09:53:20.605Z,,,,,,,,,,,,,2019-05-07T11:57:43.191Z,2019-05-07T11:57:43.191Z,1.0,,,,,,,,,,,,,,0.0,0,0,
directory,,directory--20670983-5678-413d-a8a3-e49dfd4a48f3_2,,,,,,,,,,,,,observed-data--20670983-5678-413d-a8a3-e49dfd4a48f3,2019-05-07T11:57:02.132Z,2019-05-07T11:57:02.132Z,1.0,,,,,,,,,,,,,,0.0,0,0,
windows-registry-key,,windows-registry-key--20213c89-c31b-4426-a32d-d6aa9ef659d9_3,,,,,,,,,,,,,observed-data--20213c89-c31b-4426-a32d-d6aa9ef659d9,2019-05-18T20:43:41.175Z,2019-05-18T20:43:41.175Z,1.0,,,,,,,,,,,,,,0.0,0,0,
observed-data,,observed-data--d80d0918-fc0a-4163-8773-c9b9b17d3d38,2020-08-12T09:53:20.472Z,,,,,,,,,,,,,2019-05-18T20:43:41.284Z,2019-05-18T20:43:41.284Z,1.0,,,,,,,,,,,,,,0.0,0,0,
user-account,,user-account--6ffd7134-8755-437f-8da5-a3ee6ca3bc4f_4,,,,,,,,,,,,,observed-data--6ffd7134-8755-437f-8da5-a3ee6ca3bc4f,2019-05-18T20:43:43.273Z,2019-05-18T20:43:43.273Z,1.0,,,,,,,,,,,,,,0.0,0,0,
directory,,directory--8c99bf08-2748-4234-a4ef-8725e36312dd_2,,,,,,,,,,,,,observed-data--8c99bf08-2748-4234-a4ef-8725e36312dd,2019-05-18T20:42:42.810Z,2019-05-18T20:42:42.810Z,1.0,,,,,,,,,,,,,,0.0,0,0,
user-account,,user-account--8ac5d7f1-47fb-4242-8758-25669e712276_4,,,,,,,,,,,,,observed-data--8ac5d7f1-47fb-4242-8758-25669e712276,2019-05-18T20:43:41.175Z,2019-05-18T20:43:41.175Z,1.0,,,,,,,,,,,,,,0.0,0,0,
observed-data,,observed-data--c8c8f870-49db-4de6-a632-30ddce3f2628,2020-08-12T09:53:20.572Z,,,,,,,,,,,,,2019-05-18T20:43:04.390Z,2019-05-18T20:43:04.390Z,1.0,,,,,,,,,,,,,,0.0,0,0,
file,WScript.exe,file--719c174-c754-4879-9bcd-2773c0cea4e9_1,,,,,,,,,,,,,observed-data--d719c174-c754-4879-9bcd-2773c0cea4e9,2019-05-18T20:43:37.862Z,2019-05-18T20:43:37.862Z,1.0,,,,,,,,,,,,,,0.0,0,0,
process,notepad.exe,process--0cc0f051-8f9a-44ea-84b8-c00dba40cf1a_0,,file,notepad.exe,directory,C:\Windows\System32,directory--0cc0f051-8f9a-44ea-84b8-c00dba40cf1a_2,file--0cc0f051-8f9a-44ea-84b8-c00dba40cf1a_1,7924.0,1.0,user-account,S-1-5-18,user-account--0cc0f051-8f9a-44ea-84b8-c00dba40cf1a_6,observed-data--0cc0f051-8f9a-44ea-84b8-c00dba40cf1a,2019-05-07T11:56:37.034Z,2019-05-07T11:56:37.034Z,1.0,,,,,,,,,,,,,,0.0,0,0,
observed-data,,observed-data--e37d8fed-5da9-4dea-983f-bcf7a9459f75,2020-08-12T09:53:20.448Z,,,,,,,,,,,,,2019-05-18T20:43:41.175Z,2019-05-18T20:43:41.175Z,1.0,,,,,,,,,,,,,,0.0,0,0,
network-traffic,,network-traffic--0dd2bb-accf-474a-9daf-2c04a9920021_4,,,,,,,,,,,,,observed-data--db0dd2bb-accf-474a-9daf-2c04a9920021,2019-05-07T11:56:41.356Z,2019-05-07T11:56:41.356Z,1.0,,,,,,,,,,,,,,0.0,0,0,
observed-data,,observed-data--3c7c3cbb-0bf6-4e02-b43c-aa6b1e13b08c,2020-08-12T09:53:20.434Z,,,,,,,,,,,,,2019-05-18T20:43:41.175Z,2019-05-18T20:43:41.175Z,1.0,,,,,,,,,,,,,,0.0,0,0,
directory,,directory--8c99bf08-2748-4234-a4ef-8725e36312dd_2,,,,,,,,,,,,,observed-data--8c99bf08-2748-4234-a4ef-8725e36312dd,2019-05-18T20:42:42.810Z,2019-05-18T20:42:42.810Z,1.0,,,,,,,,,,,,,,0.0,0,0,
observed-data,,observed-data--dd715601-4023-41a1-8ca9-4935dafbcc60,2020-08-12T09:53:20.504Z,,,,,,,,,,,,,2019-05-18T20:43:43.456Z,2019-05-18T20:43:43.456Z,1.0,,,,,,,,,,,,,,0.0,0,0,
process,powershell.exe,process--36edcd1-4be7-4f2c-a7db-bbd4bc6a472d_0,,file,powershell.exe,directory,C:\Windows\System32\WindowsPowerShell\v1.0,directory--36edcd1-4be7-4f2c-a7db-bbd4bc6a472d_2,file--36edcd1-4be7-4f2c-a7db-bbd4bc6a472d_1,5204.0,,user-account,S-1-5-18,user-account--36edcd1-4be7-4f2c-a7db-bbd4bc6a472d_4,observed-data--d36edcd1-4be7-4f2c-a7db-bbd4bc6a472d,2019-05-18T20:43:43.815Z,2019-05-18T20:43:43.815Z,1.0,,,,,,,,,,,,,,0.0,0,0,
user-account,,user-account--5d5ef053-ffff-4bd6-a8b6-84b2223a5d92_4,,,,,,,,,,,,,observed-data--5d5ef053-ffff-4bd6-a8b6-84b2223a5d92,2019-05-18T20:44:20.237Z,2019-05-18T20:44:20.237Z,1.0,,,,,,,,,,,,,,0.0,0,0,
ipv4-addr,,ipv4-addr--9052c6-843a-469e-b3a9-fb6064818a3a_3,,,,,,,,,,,,,observed-data--ea9052c6-843a-469e-b3a9-fb6064818a3a,2019-05-07T11:57:39.839Z,2019-05-07T11:57:39.839Z,1.0,,,,,,,,,,,,,,0.0,0,0,
network-traffic,,network-traffic--9c4fdc98-e635-4e3f-8205-158c1e332fa4_4,,,,,,,,,,,,,observed-data--9c4fdc98-e635-4e3f-8205-158c1e332fa4,2019-05-07T11:56:32.199Z,2019-05-07T11:56:32.199Z,1.0,,,,,,,,,,,,,,0.0,0,0,
user-account,,user-account--2a9e33-da19-4de7-9281-4603ce11e56c_4,,,,,,,,,,,,,observed-data--ee2a9e33-da19-4de7-9281-4603ce11e56c,2019-05-18T20:44:00.050Z,2019-05-18T20:44:00.050Z,1.0,,,,,,,,,,,,,,0.0,0,0,
process,powershell.exe,process--0cc00e6-5e3b-47ab-b60c-bb992e539f8d_0,,file,powershell.exe,directory,C:\Windows\System32\WindowsPowerShell\v1.0,directory--0cc00e6-5e3b-47ab-b60c-bb992e539f8d_2,file--0cc00e6-5e3b-47ab-b60c-bb992e539f8d_1,5452.0,1.0,user-account,S-1-5-18,user-account--0cc00e6-5e3b-47ab-b60c-bb992e539f8d_6,observed-data--b0cc00e6-5e3b-47ab-b60c-bb992e539f8d,2019-05-07T11:57:19.448Z,2019-05-07T11:57:19.448Z,1.0,,,,,,,,,,,,,,0.0,0,0,
ipv4-addr,,ipv4-addr--02b82db-fe82-4b9b-a9c3-1c7b3ee466eb_5,,,,,,,,,,,,,observed-data--e02b82db-fe82-4b9b-a9c3-1c7b3ee466eb,2019-05-07T11:57:24.557Z,2019-05-07T11:57:24.557Z,1.0,,,,,,,,,,,,,,0.0,0,0,
observed-data,,observed-data--caa8e404-108d-4bd5-9a87-c2109661fb8c,2020-08-12T09:53:20.582Z,,,,,,,,,,,,,2019-05-18T20:43:10.585Z,2019-05-18T20:43:10.585Z,1.0,,,,,,,,,,,,,,0.0,0,0,
process,powershell.exe,process--1ed1148f-5791-44d6-a2d0-5ebe88ea3539_0,,file,powershell.exe,directory,C:\Windows\System32\WindowsPowerShell\v1.0,directory--1ed1148f-5791-44d6-a2d0-5ebe88ea3539_2,file--1ed1148f-5791-44d6-a2d0-5ebe88ea3539_1,5204.0,,user-account,S-1-5-18,user-account--1ed1148f-5791-44d6-a2d0-5ebe88ea3539_4,observed-data--1ed1148f-5791-44d6-a2d0-5ebe88ea3539,2019-05-18T20:43:43.284Z,2019-05-18T20:43:43.284Z,1.0,,,,,,,,,,,,,,0.0,0,0,
observed-data,,observed-data--301239b8-08d9-4bc3-84e3-d8edf2465984,2020-08-12T09:53:20.564Z,,,,,,,,,,,,,2019-05-07T11:57:12.840Z,2019-05-07T11:57:12.840Z,1.0,,,,,,,,,,,,,,0.0,0,0,
windows-registry-key,,windows-registry-key--7249d83-6d05-445f-9e19-da42025ea145_3,,,,,,,,,,,,,observed-data--a7249d83-6d05-445f-9e19-da42025ea145,2019-05-18T20:43:41.284Z,2019-05-18T20:43:41.284Z,1.0,,,,,,,,,,,,,,0.0,0,0,
process,powershell.exe,process--f8e8-fdc6-42ec-9531-26fe05681fa2_0,,file,powershell.exe,directory,C:\Windows\System32\WindowsPowerShell\v1.0,directory--f8e8-fdc6-42ec-9531-26fe05681fa2_2,file--f8e8-fdc6-42ec-9531-26fe05681fa2_1,5204.0,,user-account,S-1-5-18,user-account--f8e8-fdc6-42ec-9531-26fe05681fa2_4,observed-data--bdeaf8e8-fdc6-42ec-9531-26fe05681fa2,2019-05-18T20:43:41.175Z,2019-05-18T20:43:41.175Z,1.0,,,,,,,,,,,,,,0.0,0,0,
observed-data,,observed-data--0179f595-4d83-4e92-a2bc-293f0c28dae0,2020-08-12T09:53:20.595Z,,,,,,,,,,,,,2019-05-18T20:44:15.362Z,2019-05-18T20:44:15.362Z,1.0,,,,,,,,,,,,,,0.0,0,0,
observed-data,,observed-data--7a89820c-c097-422d-adb5-c83cc053beea,2020-08-12T09:53:20.607Z,,,,,,,,,,,,,2019-05-18T20:44:27.925Z,2019-05-18T20:44:27.925Z,1.0,,,,,,,,,,,,,,0.0,0,0,
directory,,directory--9052c6-843a-469e-b3a9-fb6064818a3a_2,,,,,,,,,,,,,observed-data--ea9052c6-843a-469e-b3a9-fb6064818a3a,2019-05-07T11:57:39.839Z,2019-05-07T11:57:39.839Z,1.0,,,,,,,,,,,,,,0.0,0,0,
windows-registry-key,,windows-registry-key--59b0ed1c-4478-44a6-963e-ba1cd29d1fba_3,,,,,,,,,,,,,observed-data--59b0ed1c-4478-44a6-963e-ba1cd29d1fba,2019-05-18T20:43:41.175Z,2019-05-18T20:43:41.175Z,1.0,,,,,,,,,,,,,,0.0,0,0,
ipv4-addr,,ipv4-addr--f6bf06e6-8bf9-4502-9d2e-8e719977452e_3,,,,,,,,,,,,,observed-data--f6bf06e6-8bf9-4502-9d2e-8e719977452e,2019-05-07T11:56:58.693Z,2019-05-07T11:56:58.693Z,1.0,,,,,,,,,,,,,,0.0,0,0,
user-account,,user-account--200c5b08-445b-47eb-8908-a41fa22a8b89_4,,,,,,,,,,,,,observed-data--200c5b08-445b-47eb-8908-a41fa22a8b89,2019-05-18T20:43:37.753Z,2019-05-18T20:43:37.753Z,1.0,,,,,,,,,,,,,,0.0,0,0,
process,powershell.exe,process--2d4f5869-f0f1-459b-a8b2-03b61adf1343_0,,file,powershell.exe,directory,C:\Windows\System32\WindowsPowerShell\v1.0,directory--2d4f5869-f0f1-459b-a8b2-03b61adf1343_2,file--2d4f5869-f0f1-459b-a8b2-03b61adf1343_1,5204.0,,user-account,S-1-5-18,user-account--2d4f5869-f0f1-459b-a8b2-03b61adf1343_4,observed-data--2d4f5869-f0f1-459b-a8b2-03b61adf1343,2019-05-18T20:43:43.815Z,2019-05-18T20:43:43.815Z,1.0,,,,,,,,,,,,,,0.0,0,0,
user-account,,user-account--fe2af4c8-5c48-4dfe-83ca-ff0cbf0bf7d6_4,,,,,,,,,,,,,observed-data--fe2af4c8-5c48-4dfe-83ca-ff0cbf0bf7d6,2019-05-18T20:43:41.175Z,2019-05-18T20:43:41.175Z,1.0,,,,,,,,,,,,,,0.0,0,0,
windows-registry-key,,windows-registry-key--fee44e0c-b79b-4216-aa99-3f3716cb5e93_3,,,,,,,,,,,,,observed-data--fee44e0c-b79b-4216-aa99-3f3716cb5e93,2019-05-18T20:43:45.753Z,2019-05-18T20:43:45.753Z,1.0,,,,,,,,,,,,,,0.0,0,0,
user-account,,user-account--2d4f5869-f0f1-459b-a8b2-03b61adf1343_4,,,,,,,,,,,,,observed-data--2d4f5869-f0f1-459b-a8b2-03b61adf1343,2019-05-18T20:43:43.815Z,2019-05-18T20:43:43.815Z,1.0,,,,,,,,,,,,,,0.0,0,0,
ipv4-addr,,ipv4-addr--55281ba3-c5a2-4900-8d1e-054ccc3bfe2c_3,,,,,,,,,,,,,observed-data--55281ba3-c5a2-4900-8d1e-054ccc3bfe2c,2019-05-07T11:58:03.519Z,2019-05-07T11:58:03.519Z,1.0,,,,,,,,,,,,,,0.0,0,0,
file,powershell.exe,file--f72c0b51-7472-47ad-b948-b74ec938a63a_1,,,,,,,,,,,,,observed-data--f72c0b51-7472-47ad-b948-b74ec938a63a,2019-05-18T20:43:41.175Z,2019-05-18T20:43:41.175Z,1.0,,,,,,,,,,,,,,0.0,0,0,
process,notepad.exe,process--4e4e9ea7-5dd8-4fb9-ad26-4a9adf8dbcf9_0,,file,notepad.exe,directory,C:\Windows\System32,directory--4e4e9ea7-5dd8-4fb9-ad26-4a9adf8dbcf9_2,file--4e4e9ea7-5dd8-4fb9-ad26-4a9adf8dbcf9_1,7924.0,1.0,user-account,S-1-5-18,user-account--4e4e9ea7-5dd8-4fb9-ad26-4a9adf8dbcf9_6,observed-data--4e4e9ea7-5dd8-4fb9-ad26-4a9adf8dbcf9,2019-05-07T11:56:42.113Z,2019-05-07T11:56:42.113Z,1.0,,,,,,,,,,,,,,0.0,0,0,
network-traffic,,network-traffic--527-7478-48f3-83c3-4bd727a141b8_4,,,,,,,,,,,,,observed-data--aedad527-7478-48f3-83c3-4bd727a141b8,2019-05-07T11:56:36.167Z,2019-05-07T11:56:36.167Z,1.0,,,,,,,,,,,,,,0.0,0,0,
observed-data,,observed-data--0a338273-7c7f-4fa7-95b9-75ed3ecec5dd,2020-08-12T09:53:20.493Z,,,,,,,,,,,,,2019-05-18T20:43:43.273Z,2019-05-18T20:43:43.273Z,1.0,,,,,,,,,,,,,,0.0,0,0,
process,powershell.exe,process--208b2d33-f32a-4816-a720-678071a33583_0,,file,powershell.exe,directory,C:\Windows\System32\WindowsPowerShell\v1.0,directory--208b2d33-f32a-4816-a720-678071a33583_2,file--208b2d33-f32a-4816-a720-678071a33583_1,5204.0,,user-account,S-1-5-18,user-account--208b2d33-f32a-4816-a720-678071a33583_4,observed-data--208b2d33-f32a-4816-a720-678071a33583,2019-05-18T20:43:43.300Z,2019-05-18T20:43:43.300Z,1.0,,,,,,,,,,,,,,0.0,0,0,
windows-registry-key,,windows-registry-key--c78fc1d1-3834-41e6-b41a-72d78e17dc32_3,,,,,,,,,,,,,observed-data--c78fc1d1-3834-41e6-b41a-72d78e17dc32,2019-05-18T20:43:24.675Z,2019-05-18T20:43:24.675Z,1.0,,,,,,,,,,,,,,0.0,0,0,
process,powershell.exe,process--90d738cd-9d7b-45fa-a931-3db2e86b9004_0,,file,powershell.exe,directory,C:\Windows\System32\WindowsPowerShell\v1.0,directory--90d738cd-9d7b-45fa-a931-3db2e86b9004_2,file--90d738cd-9d7b-45fa-a931-3db2e86b9004_1,5172.0,1.0,user-account,S-1-5-18,user-account--90d738cd-9d7b-45fa-a931-3db2e86b9004_6,observed-data--90d738cd-9d7b-45fa-a931-3db2e86b9004,2019-05-07T11:56:57.071Z,2019-05-07T11:56:57.071Z,1.0,,,,,,,,,,,,,,0.0,0,0,
directory,,directory--2409b054-0a06-4c2e-a92c-aa2aa927b476_2,,,,,,,,,,,,,observed-data--2409b054-0a06-4c2e-a92c-aa2aa927b476,2019-05-18T20:44:32.112Z,2019-05-18T20:44:32.112Z,1.0,,,,,,,,,,,,,,0.0,0,0,
file,powershell.exe,file--5eeb78bb-1080-46e5-924a-a6c3cb27ded8_1,,,,,,,,,,,,,observed-data--5eeb78bb-1080-46e5-924a-a6c3cb27ded8,2019-05-18T20:43:41.175Z,2019-05-18T20:43:41.175Z,1.0,,,,,,,,,,,,,,0.0,0,0,
directory,,directory--6046f322-7495-4720-8549-f01f1522f8c6_2,,,,,,,,,,,,,observed-data--6046f322-7495-4720-8549-f01f1522f8c6,2019-05-18T20:43:43.300Z,2019-05-18T20:43:43.300Z,1.0,,,,,,,,,,,,,,0.0,0,0,
observed-data,,observed-data--5a65a6cc-6715-495d-b221-2fbf575573d0,2020-08-12T09:53:20.501Z,,,,,,,,,,,,,2019-05-18T20:43:43.300Z,2019-05-18T20:43:43.300Z,1.0,,,,,,,,,,,,,,0.0,0,0,
directory,,directory--0ec282f-2430-44f0-8379-a15e6d34d4d5_2,,,,,,,,,,,,,observed-data--e0ec282f-2430-44f0-8379-a15e6d34d4d5,2019-05-18T20:43:41.284Z,2019-05-18T20:43:41.284Z,1.0,,,,,,,,,,,,,,0.0,0,0,
file,notepad.exe,file--80bd8761-2827-4832-8528-89e15b91b5f8_1,,,,,,,,,,,,,observed-data--80bd8761-2827-4832-8528-89e15b91b5f8,2019-05-07T11:56:47.192Z,2019-05-07T11:56:47.192Z,1.0,,,,,,,,,,,,,,0.0,0,0,
